ad_id,ad_text,category,category_confidence,type
AD_00000,"up to
$100 off
roundtrip
flights to
ireland.
travel 4/1/23-5/31/23 & 9/1/23-11/30/23
*terms and conditions apply
ta
aer lingus
aer lingus
book now
terms and conditions apply",Travel,0.516156665438926,targeted
AD_00001,"yp the real
ур
yellow pages
find cheap
gas near you!
right here in
yp app.
download now
q. gas stations | los angeles, ca
johnny's gas & food
rocket gas station
cheap gasto ge
usa mart & gas
quick gas
30m
cheap gato go
289
291
291
291
297
305",General_News,0.27099614872606637,targeted
AD_00002,"food navigator
usa
plant-based meat:
beyond the honeymoon
period
editorial webinar
wednesday march 22
11:00am ct
register to watch it
live or on-demand",Entertainment,0.32364912765238235,targeted
AD_00003,"monstrous
airflow
$20-$23
duramax
banks
+27%
bigger
banks and it's/
patented
15.9in¹
we're larger
stock at the maf
12.57in
sensor.
ram-air
-9.8%
afe
11.34in
-24%
s&b
9.6m²",General_News,0.1697525437889623,targeted
AD_00004,"yummy
combs
*
a
nutriti
wellne
now
safest, most nutritious flossing dog treat
nurturing optimal wellness!™
shop now!",Health,0.9559632384004743,targeted
AD_00005,"roselinlin
free shipping
10",Sports,0.5349976032230116,targeted
AD_00006,"menards
gift card
menards
gift cards
mewards
gift card
menards
one gift
endless possibilities
click here to order online!",Business_Finance,0.36835184442420127,targeted
AD_00007,"from hello
to help,
211 is here
2.1.1
get connected. get help.""
pe
anne",Health,0.3556573696954284,targeted
AD_00008,"all about
circuits
need a battery
refresher?
9v
mou
circuits
ac, dc, analog,
digital and much more!
r₁
600
video
tutorials
learn more",Travel,0.3273580906837681,targeted
AD_00009,"united
mileageplus.
get ready and bon voyage
until may 27, buy miles and
get up to 85% bonus miles.
buy miles",Automotive,0.29322400615054384,targeted
AD_00010,"hfa rumblefish
streamline your music
royalties
let's connect",Entertainment,0.9406970963677705,targeted
AD_00011,"banana
republic
factory
280+ new arrivals
from $24.99
shop now",Lifestyle,0.327036052619876,targeted
AD_00012,"mullins
whey
100% whey
protein isolate
rbgh | gluten | antibiotic | soy free
learn more
store.mullinswhey.com
v
mullins whey
100%
whey
a
protein 4
isolate
vanilla
882
25 persen",Entertainment,0.2898030933728019,targeted
AD_00013,"logitech
never see the light
of day again.
smart backlighting.
discover mx keys s
learn more",Lifestyle,0.5484525126596091,targeted
AD_00014,"capital one shopping
the coupon-finding
browser extension
promo codes available
see free codes
get free promo codes automatically applied at checkout.",Business_Finance,0.26084219532463465,targeted
AD_00015,"tek hdmi 2.1
hdmi
latra
certified
cable
re
do
grok
now
available
in 1.8
metres
arc var
hdr
dynamic hor
8k 4k
60hz 120hz
exclusive to jbhi-fi",Travel,0.32622996468632987,targeted
AD_00016,"free trial
enterprise-caliber
it service desk
software
try service desk plus!
manageengine
service desk plus
(0)",General_News,0.45364307154658645,targeted
AD_00017,"make
your
move
with the
most
trusted
brands
in media
""media job board
gard.com
poynter. e&p
newspapers
find your
next job",Sports,0.2941898290090702,targeted
AD_00018,"2022
march 10-12
new orleans
the future is
in your hands",Travel,0.32839693555491417,targeted
AD_00019,"sentaraⓡ
you derserve
the best
you're
safe
at sentara
we're commited to safe
in-person mammography
care. appointments
available now.
schedule now",Lifestyle,0.6195484139594039,targeted
AD_00020,"be an
adoptive home
for athena
and other children in foster care
learn more about adoption
susan's kids
sponsored by brandon steven motors",Lifestyle,0.7282200393350708,targeted
AD_00021,"wusfs food podcast
the
zest
podcast
sponsored by
seitenbacher
season 4 now streaming",Food_Drink,0.31582357243734005,targeted
AD_00022,"georgetown
university
school of continuing studies
this is your
moment.
get
started",General_News,0.40220746450361333,targeted
AD_00023,"detroit
bed wings
nhlshop.com
af fanatics experience
shop now",Lifestyle,0.3016354939040458,targeted
AD_00024,"grow your savings with cd specials
4.25%
for 25 months
4.25%
for 13 months
view details
first fed
member fdic | equal housing lender
apy is annual percentage yield",Entertainment,0.40837220674090624,targeted
AD_00025,"free book:
options expert
shows seniors
the best options
strategies
for income.
smart options strategies
tradewins
smart
options
strategies
chuck hughes
claim yours today:",Sports,0.22085247808066705,targeted
AD_00026,"feed their inner
hen ambitions.
b
nutrena
m
find a store >
nutrena
what we cou
1/zopen
naturewise
chick starter grower
protein crumble
in
6%",Food_Drink,0.35152584586032476,targeted
AD_00027,"clover ii
2-storey link homes
22' x 70' 2,586 sq.ft.
641",General_News,0.42495590082668505,targeted
AD_00028,"ignore real-time al
and customers will do
the same to you.
our vector database is
ai-ready and proven at scale.
datastax",Sports,0.18495767603019417,targeted
AD_00029,"care for your smile
and let it brighten
your day
same day crowns
teeth whitening
dental implants/bitesplints
beers family dentistry
dr. chad beers and dr. kyle lints
lwinner
2015-2018-2021-2022
dr. chud boers, d.d.s",Lifestyle,0.5083918282879163,targeted
AD_00030,"vis
promo codes
available
see codes
cape shopping
the find
·‒‒‒‒ –
i
i
i
i
i
i
i
i
i
i
i",Lifestyle,0.23450869254061027,targeted
AD_00031,"nordictrack
commercy (750
from¡fit>
nordictrack
black friday starts early
$1,599 $1,899
shop 1750 tread",Lifestyle,0.6255431449388769,targeted
AD_00032,"olet the
ashley light shine
shop now →→",Lifestyle,0.7419969728807687,targeted
AD_00033,"full time jobs part
time
part time jobs warehouse jobs
jobs
hourly jobs
jobs2careers",Business_Finance,0.3870176953099897,targeted
